date,open,high,low,close,volume
2020-01-01,31000,31084.92,30420.83,30558.53,5823947
2020-01-02,30558.53,30766.79,29909.11,30316.68,2351390
2020-01-03,30316.68,30721.19,30310.13,30392.14,1821501
2020-01-06,30392.14,30592.68,30201.88,30314.19,1683655
2020-01-07,30314.19,30413.94,29484.51,29913.39,2595185
2020-01-08,29913.39,30196.92,29387.94,29532.43,5179717
2020-01-09,29532.43,29843.29,29376.41,29728.37,2785282
2020-01-10,29728.37,29909.96,29255.76,29342.7,4851354
2020-01-13,29342.7,29831.13,29314.74,29750.38,3714026
2020-01-14,29750.38,30533.83,29338.33,30151.07,4498093
2020-01-15,30151.07,30238.76,29715.2,30162.26,4876280
2020-01-16,30162.26,30516.21,30049.9,30388.11,5157165
2020-01-17,30388.11,31177.93,30076.57,30768.59,5510683
2020-01-20,30768.59,30947.12,30254.06,30520.35,5459409
2020-01-21,30520.35,31150.05,30317.5,30867.17,1313070
2020-01-22,30867.17,30897.97,30730.03,30751.23,2521670
2020-01-23,30751.23,31607.17,30545.51,31178.69,3584513
2020-01-24,31178.69,31276.99,30954.47,31276.11,3241881
2020-01-27,31276.11,31903.66,31196.95,31634.03,5471346
2020-01-28,31634.03,32573.68,31488.51,32112.73,1993413
2020-01-29,32112.73,32593.32,31538.05,31900.91,4863471
2020-01-30,31900.91,32483.89,31824.24,32084.23,5146674
2020-01-31,32084.23,32449.47,32033.16,32230.96,4431007
2020-02-03,32230.96,33213.11,31856.27,32722.49,3877488
2020-02-04,32722.49,32989.61,32342.59,32634.88,4187746
2020-02-05,32634.88,32756.27,32095.59,32450.92,5530916
2020-02-06,32450.92,32734.2,32184.88,32199.89,3052227
2020-02-07,32199.89,32668.16,31727.56,32081.06,2712086
2020-02-10,32081.06,32523.79,31319.32,31626.65,5514286
2020-02-11,31626.65,31743.13,31206.39,31477.1,3148417
2020-02-12,31477.1,31757.91,31461.17,31676.77,5454162
2020-02-13,31676.77,31799.21,31010.04,31431.71,4297628
2020-02-14,31431.71,31727.86,31252.71,31589.59,1478945
2020-02-17,31589.59,32470.87,31313.64,32013.37,5388892
2020-02-18,32013.37,32357.43,31959.33,32344.15,2501485
2020-02-19,32344.15,32716.36,31937.08,31969.25,3233795
2020-02-20,31969.25,32231.27,31895.5,32161.89,1006527
2020-02-21,32161.89,32711.48,31866.3,32607.37,4112527
2020-02-24,32607.37,32820.32,32356.41,32576.93,4222440
2020-02-25,32576.93,33270.25,32348.3,32998,3417456
2020-02-26,32998,33008.27,32092.75,32559.17,5018634
2020-02-27,32559.17,32722.6,32243.03,32323.15,2451298
2020-02-28,32323.15,32416.36,31784.31,32241.73,3347978
2020-03-02,32241.73,32724.62,32154.15,32255.01,4499307
2020-03-03,32255.01,32638.01,31781.9,32344.89,4491693
2020-03-04,32344.89,33152.27,32119.56,32827.52,4376217
2020-03-05,32827.52,33625.18,32451.5,33158.44,2245191
2020-03-06,33158.44,33593.83,32901.87,33263.04,1190416
2020-03-09,33263.04,33416.06,32623.25,32850.87,3010479
2020-03-10,32850.87,33342.07,31983.64,32404.55,1724141
2020-03-11,32404.55,32451.27,31926.49,32063.39,1466520
2020-03-12,32063.39,32138.61,31577.92,31756.39,4933518
2020-03-13,31756.39,32095.22,31414.69,31421.23,2557787
2020-03-16,31421.23,31783.64,31125.74,31295.12,2027514
2020-03-17,31295.12,31693.28,30880.44,31678.53,5723248
2020-03-18,31678.53,32365.96,31615.42,31915.26,2007229
2020-03-19,31915.26,32368.84,31586.66,32126.22,3146515
2020-03-20,32126.22,32356.46,31918.12,31950.93,3163323
2020-03-23,31950.93,32435.78,31790.1,32254.73,4938873
2020-03-24,32254.73,32450.14,31884.85,31916.72,5695561
2020-03-25,31916.72,32153.34,31444.41,32088.87,5543219
2020-03-26,32088.87,32380.26,31895.81,32182.41,1719185
2020-03-27,32182.41,32609.89,31979.06,32173.76,3979809
2020-03-30,32173.76,32238.01,31838.21,32031.56,2083397
2020-03-31,32031.56,32476.66,31951.05,32272.84,1463392
2020-04-01,32272.84,32856.03,32222.45,32435.66,3090496
2020-04-02,32435.66,33356.88,31953.13,32937.08,4923650
2020-04-03,32937.08,33722.4,32658.3,33410.6,3177759
2020-04-06,33410.6,33675.01,33106.04,33250.96,3878775
2020-04-07,33250.96,33716.76,33037.61,33485.41,2508451
2020-04-08,33485.41,33853.53,33457,33515.49,4169354
2020-04-09,33515.49,33904.76,33244.66,33504.21,5707111
2020-04-10,33504.21,33973.97,33190.36,33509.09,5708699
2020-04-13,33509.09,34035.15,33317.96,33852.18,5550711
2020-04-14,33852.18,34310.25,33398.75,34136.96,5269665
2020-04-15,34136.96,34389.71,33226.65,33699.28,3327383
2020-04-16,33699.28,33997.96,33026.04,33483.71,1657014
2020-04-17,33483.71,33804.09,33472.18,33491.49,4557907
2020-04-20,33491.49,33894.24,33233.37,33563.73,4134106
2020-04-21,33563.73,34390.95,33538.32,34071.9,2165108
2020-04-22,34071.9,34345.16,33963.92,33984.15,2264876
2020-04-23,33984.15,34447.6,33637.03,34264.77,4723823
2020-04-24,34264.77,34323.78,33786.37,34039.31,1067075
2020-04-27,34039.31,34537.19,33689.31,34024.95,5747831
2020-04-28,34024.95,34056.83,33554.77,33903.16,1796534
2020-04-29,33903.16,34151.66,33664.44,33892.64,5982352
