date,open,high,low,close,volume
2020-01-01,680,685.32,660.79,670.33,3644744
2020-01-02,670.33,670.33,659.19,661.53,3348364
2020-01-03,661.53,668.6,659.12,667.74,1214313
2020-01-06,667.74,676.7,665.58,666,4727224
2020-01-07,666,677.92,664.22,670.22,1324179
2020-01-08,670.22,678.55,668.77,674.58,5484672
2020-01-09,674.58,687.47,665.66,680.63,4926513
2020-01-10,680.63,684.71,672.15,682.74,5431658
2020-01-13,682.74,690.4,679.41,684.74,5237176
2020-01-14,684.74,697.99,681.79,692.26,4193321
2020-01-15,692.26,701.92,680.17,682.96,2317602
2020-01-16,682.96,697.95,681.99,693.36,4228196
2020-01-17,693.36,702.43,687.69,688.78,5105459
2020-01-20,688.78,698.13,679.87,680.78,4569465
2020-01-21,680.78,684.3,669.02,679.18,2813406
2020-01-22,679.18,690.39,672.02,681.32,5778364
2020-01-23,681.32,702.1,677.82,691.84,5794691
2020-01-24,691.84,702.55,691.54,700.05,4612344
2020-01-27,700.05,705.92,691.85,701.19,5349614
2020-01-28,701.19,713.24,697.26,707.8,5416027
2020-01-29,707.8,717.34,689.08,698.35,4265102
2020-01-30,698.35,703.88,690.43,694.94,2667934
2020-01-31,694.94,702.97,688.03,697.31,3175257
2020-02-03,697.31,711,689.53,706.32,4200942
2020-02-04,706.32,712.99,698.7,709.89,1652835
2020-02-05,709.89,714.89,707.75,709.05,3837251
2020-02-06,709.05,710.85,701.72,701.74,4786310
2020-02-07,701.74,705.55,692.09,698.01,3355977
2020-02-10,698.01,699.71,695.86,695.99,4438348
2020-02-11,695.99,703.55,692.67,699.87,4450095
2020-02-12,699.87,706.86,690.41,692.98,2528271
2020-02-13,692.98,699.78,680.72,685.71,4465963
2020-02-14,685.71,694.55,682.04,685.93,2959778
2020-02-17,685.93,691.81,675.9,688.42,3031387
2020-02-18,688.42,693.61,676.58,684.83,2680844
2020-02-19,684.83,701.61,679.14,695.34,5827600
2020-02-20,695.34,697.39,693.01,695.66,1545559
2020-02-21,695.66,712.69,689.83,703.23,5301302
2020-02-24,703.23,709.75,700.24,701.48,2612990
2020-02-25,701.48,718.88,695.12,710.47,3508369
2020-02-26,710.47,722.82,704.12,713.74,2172503
2020-02-27,713.74,717.53,704.14,708.88,2868765
2020-02-28,708.88,716.34,706.12,712.87,2753149
2020-03-02,712.87,718.08,701.03,703.42,4194662
2020-03-03,703.42,706.77,697.28,704.69,1125779
2020-03-04,704.69,719.56,695.18,711.32,5120629
2020-03-05,711.32,713.67,702.69,702.84,4912460
2020-03-06,702.84,711.11,689.73,699.98,5804752
2020-03-09,699.98,708.23,698.64,704.49,2107447
2020-03-10,704.49,716.24,703.87,706.48,4491713
2020-03-11,706.48,716.58,693.41,697.3,5283810
2020-03-12,697.3,707.15,691.73,699.83,2557824
2020-03-13,699.83,700.95,689.58,699.66,3738617
2020-03-16,699.66,708.06,698.84,701.95,1080543
2020-03-17,701.95,709.48,696.21,707.41,2501052
2020-03-18,707.41,713.05,707.11,710.75,5151054
2020-03-19,710.75,713.08,707.08,708.05,5273953
2020-03-20,708.05,713.98,701.97,707.76,4119955
2020-03-23,707.76,710.49,703.14,706.43,1162561
2020-03-24,706.43,707.19,700.33,705.44,3399668
2020-03-25,705.44,709.2,698.6,700.51,1903939
2020-03-26,700.51,705.49,696.95,701,1248776
2020-03-27,701,707.79,691.21,695.86,4291854
2020-03-30,695.86,703.94,690.2,690.86,5375316
2020-03-31,690.86,698.54,677.2,684.81,3392450
2020-04-01,684.81,702.44,676.42,695.12,2107348
2020-04-02,695.12,700.85,688.29,690.11,5732764
2020-04-03,690.11,697.34,688.37,694.96,4556256
2020-04-06,694.96,701.65,680.5,684.96,4711213
2020-04-07,684.96,694.22,680.62,693.03,2673791
2020-04-08,693.03,697.97,681.92,688.9,3218062
2020-04-09,688.9,705.62,686.79,695.45,2048121
2020-04-10,695.45,700.49,684.18,688.7,1703267
2020-04-13,688.7,705.21,678.72,698.72,1631980
2020-04-14,698.72,702.94,692.52,695.75,2412948
2020-04-15,695.75,705.81,690.84,695.87,3195000
2020-04-16,695.87,696.54,691.28,691.57,4823161
2020-04-17,691.57,701.54,683.57,685.27,1331671
2020-04-20,685.27,697.68,675.81,693.48,3695347
2020-04-21,693.48,694.56,681.19,686.43,2545229
2020-04-22,686.43,687.15,674.16,679.34,4447481
2020-04-23,679.34,688.34,669.43,676.98,3506111
2020-04-24,676.98,684.13,659.38,668.13,2497402
2020-04-27,668.13,675.17,661.47,665.93,3427914
2020-04-28,665.93,672.12,650.87,660.15,1938943
2020-04-29,660.15,665.11,644.73,653.94,4638321
2020-04-30,653.94,667.44,653.32,661.29,1910884
2020-05-01,661.29,677.28,657.9,668.61,2776335
2020-05-04,668.61,684.84,659.67,678.49,4225115
2020-05-05,678.49,692.47,670.95,687.12,3914886
2020-05-06,687.12,689.16,675.37,679.28,3955927
2020-05-07,679.28,684.05,663.67,670.64,3974594
2020-05-08,670.64,678.54,662.36,677.15,2789733
2020-05-11,677.15,682.64,663.56,667.58,3527566
2020-05-12,667.58,668,658.89,661.2,1154298
2020-05-13,661.2,665.37,657.69,664.74,4215985
2020-05-14,664.74,666.6,656.72,659.42,5288733
2020-05-15,659.42,665.08,648.33,652.84,2313405
2020-05-18,652.84,668.16,652.79,660.73,2701692
2020-05-19,660.73,665.42,643.72,652.61,4267966
2020-05-20,652.61,666.8,646.44,661.65,2402825
2020-05-21,661.65,670.94,659.87,661.2,3801776
2020-05-22,661.2,672.51,661.18,669.33,4720830
2020-05-25,669.33,670.68,660.77,663.69,3019071
2020-05-26,663.69,672.62,662.7,672.16,3347801
2020-05-27,672.16,689.6,667.99,680.66,3356881
2020-05-28,680.66,686.61,677.71,679.45,3139594
2020-05-29,679.45,687.13,668.39,670.32,1250207
2020-06-01,670.32,672.09,659.15,661.66,2207023
2020-06-02,661.66,671.45,650.1,657.85,4745627
2020-06-03,657.85,664.05,649.76,659.3,4319050
2020-06-04,659.3,670.3,658.87,662.77,1092859
2020-06-05,662.77,672.51,654.97,655.96,2618401
2020-06-08,655.96,661.54,645.09,648.36,4690639
2020-06-09,648.36,652.95,644.53,652.93,5137851
2020-06-10,652.93,667.93,651.02,662.59,4511765
2020-06-11,662.59,666.93,657.46,661.94,3310439
2020-06-12,661.94,671.49,657.19,658.6,4420763
2020-06-15,658.6,668.02,649.51,660.05,3496518
2020-06-16,660.05,675.07,658.99,666.34,2593563
2020-06-17,666.34,669.19,664.37,668.82,1922291
2020-06-18,668.82,671.92,657.13,662.99,2831493
2020-06-19,662.99,663.65,656.45,661.07,1947300
2020-06-22,661.07,666.7,648.54,656.62,2196733
2020-06-23,656.62,661.21,652.79,660.93,5069090
2020-06-24,660.93,670.37,657.2,668.09,1174661
2020-06-25,668.09,670.89,657.28,660.59,4292580
2020-06-26,660.59,672.88,654.8,664.57,5593517
2020-06-29,664.57,669.62,658.55,667.99,3202226
2020-06-30,667.99,676.55,658.57,669.7,2085494
2020-07-01,669.7,684.53,667.83,675.79,5759222
2020-07-02,675.79,688.49,672.36,679.23,3315107
2020-07-03,679.23,686.49,661.44,669.48,2815617
2020-07-06,669.48,678.06,653.52,660.19,5815755
2020-07-07,660.19,671.77,657.94,664.17,5511442
2020-07-08,664.17,677.68,660.78,669.81,1265215
2020-07-09,669.81,671.03,665.32,670.09,1025596
2020-07-10,670.09,679.39,655.2,661.27,1717678
2020-07-13,661.27,666.19,653.9,659.8,2003179
2020-07-14,659.8,668.21,643.58,652.06,1449583
2020-07-15,652.06,659.52,639.31,647.19,1175409
2020-07-16,647.19,650.66,640.28,649.95,1259399
2020-07-17,649.95,667.63,644.4,659.04,5808854
2020-07-20,659.04,666.36,652.39,659.11,2811571
2020-07-21,659.11,666.22,657.72,657.88,3091784
2020-07-22,657.88,666.28,650.18,654.78,5658666
2020-07-23,654.78,661.89,653.84,657.99,3936929
2020-07-24,657.99,666.82,644.65,652.37,2356297
