date,open,high,low,close,volume
2020-01-01,1450,1467.24,1410.13,1429.31,2513620
2020-01-02,1429.31,1464.71,1420.91,1446.57,5215530
2020-01-03,1446.57,1454.44,1426.34,1429.44,2962923
2020-01-06,1429.44,1437.91,1395.14,1416.21,1809042
2020-01-07,1416.21,1424.47,1414.17,1417.69,3492476
2020-01-08,1417.69,1423.63,1397.42,1406.19,5874367
2020-01-09,1406.19,1428.34,1393.7,1415.45,5242689
2020-01-10,1415.45,1423.27,1396.42,1411.02,3965501
2020-01-13,1411.02,1424.31,1380.91,1400.7,1697004
2020-01-14,1400.7,1426.15,1380.28,1418.78,5774971
2020-01-15,1418.78,1427.91,1410,1423.41,4163117
2020-01-16,1423.41,1440.94,1416,1424.35,2603495
2020-01-17,1424.35,1464.09,1424.27,1446.15,1037600
2020-01-20,1446.15,1450.98,1430.46,1442.31,3052697
2020-01-21,1442.31,1474.89,1440.89,1462.05,5882938
2020-01-22,1462.05,1464.2,1448.02,1463.38,5887399
2020-01-23,1463.38,1467.19,1456.64,1464.54,5505770
2020-01-24,1464.54,1482.27,1444.84,1474.01,3518725
2020-01-27,1474.01,1488.42,1468.22,1472.37,3770538
2020-01-28,1472.37,1492.64,1467.75,1490.47,1423753
2020-01-29,1490.47,1497.85,1467.03,1487.14,2117119
2020-01-30,1487.14,1491.02,1469.11,1469.59,5780655
2020-01-31,1469.59,1489.96,1451.47,1479.11,5232736
2020-02-03,1479.11,1519.89,1465.47,1498.61,3978276
2020-02-04,1498.61,1500.58,1483.07,1485.01,1181896
2020-02-05,1485.01,1496.18,1479.86,1482.67,1209209
2020-02-06,1482.67,1498.2,1468.55,1471.86,3715781
2020-02-07,1471.86,1501.59,1450.72,1487.15,4960885
2020-02-10,1487.15,1502.85,1459.23,1471.16,2921113
2020-02-11,1471.16,1485.6,1450.14,1477.76,1848469
2020-02-12,1477.76,1478.73,1443.56,1458.5,3092603
2020-02-13,1458.5,1463.07,1437.43,1440.89,3949807
2020-02-14,1440.89,1444.02,1427.89,1441.01,5024614
