date,open,high,low,close,volume
2020-01-01,2300,2314.34,2247.85,2267.3,4096258
2020-01-02,2267.3,2314.62,2258.07,2286.58,3023483
2020-01-03,2286.58,2326.65,2263.26,2304.25,3350114
2020-01-06,2304.25,2340.45,2296.68,2317.68,2994245
2020-01-07,2317.68,2350.19,2294.71,2316.02,3676825
2020-01-08,2316.02,2361.57,2312.51,2343.93,2832687
2020-01-09,2343.93,2353.15,2306.2,2337.93,1857599
2020-01-10,2337.93,2377.69,2307.86,2355.85,4273442
2020-01-13,2355.85,2376.88,2328.48,2346.75,1342941
2020-01-14,2346.75,2373.6,2343.59,2366.77,4380575
2020-01-15,2366.77,2386.16,2359.77,2365.85,5186743
2020-01-16,2365.85,2367.29,2319.57,2354.55,1545980
2020-01-17,2354.55,2371.26,2305.02,2338.97,2655954
2020-01-20,2338.97,2372.41,2293.34,2328.03,2885257
2020-01-21,2328.03,2331.27,2267.32,2301.83,4475482
2020-01-22,2301.83,2336.44,2299.72,2302.35,5871988
2020-01-23,2302.35,2347.38,2295.53,2317.62,5775309
2020-01-24,2317.62,2364.87,2316.05,2334.74,1867980
2020-01-27,2334.74,2364.71,2319.5,2345.25,1438655
2020-01-28,2345.25,2367.98,2340.76,2346.34,5138527
2020-01-29,2346.34,2369.46,2321.77,2329.95,4995186
2020-01-30,2329.95,2343.16,2303.71,2325.66,2463254
2020-01-31,2325.66,2335.89,2297.98,2332.77,1870658
2020-02-03,2332.77,2369.27,2306.58,2343.46,2258914
2020-02-04,2343.46,2388.42,2320.84,2359.93,2346243
2020-02-05,2359.93,2386.99,2328.96,2344.46,3453298
2020-02-06,2344.46,2373.39,2321.43,2347.14,3422223
2020-02-07,2347.14,2358.69,2297.35,2317.62,5668169
2020-02-10,2317.62,2351.32,2291.24,2324.86,2062706
2020-02-11,2324.86,2325.96,2302.56,2303.99,3797094
2020-02-12,2303.99,2328.44,2270.73,2281.43,3100530
2020-02-13,2281.43,2307.3,2277.36,2297.96,5856152
2020-02-14,2297.96,2326.33,2267.35,2297.33,4686234
2020-02-17,2297.33,2337.94,2281.37,2326.85,5681174
2020-02-18,2326.85,2352.95,2289.28,2314.3,5694167
2020-02-19,2314.3,2370.43,2286.93,2348.58,2124272
2020-02-20,2348.58,2354.19,2311.84,2323.8,3684414
2020-02-21,2323.8,2346.27,2290.81,2317.49,1021767
2020-02-24,2317.49,2317.93,2291.04,2295.92,1832598
