date,open,high,low,close,volume
2020-01-01,420,424.97,412.02,414.01,1800670
2020-01-02,414.01,416.98,406.69,412.68,3184123
2020-01-03,412.68,418.04,410.88,415.55,5341145
2020-01-06,415.55,415.69,413.28,413.62,3095115
2020-01-07,413.62,419.76,412.16,414.14,3892526
2020-01-08,414.14,422.83,413.04,419.84,4440235
2020-01-09,419.84,423.96,410.29,413.9,3731894
2020-01-10,413.9,424.4,408.47,420.25,3600756
2020-01-13,420.25,421.73,410.98,416.5,1426010
2020-01-14,416.5,428.17,414.68,422.88,4603666
2020-01-15,422.88,428.49,419.29,421.41,5438334
2020-01-16,421.41,423.31,413.37,415.56,3792204
2020-01-17,415.56,424.74,413.96,418.5,2575671
2020-01-20,418.5,419.23,412.94,418.28,1325433
2020-01-21,418.28,428.83,417.24,423.7,3897383
2020-01-22,423.7,426.12,415.41,420.95,2119917
2020-01-23,420.95,425.28,417.58,421.09,4984270
2020-01-24,421.09,430.42,415.09,424.2,4492741
2020-01-27,424.2,425.11,421.34,424.47,5259952
2020-01-28,424.47,430.22,422.96,423.5,4101481
2020-01-29,423.5,428.95,420.78,421.46,3730134
2020-01-30,421.46,421.58,410.23,416.32,1437215
2020-01-31,416.32,418.63,412.92,418.5,1635032
2020-02-03,418.5,425.99,415.12,419.97,5451268
2020-02-04,419.97,420.43,416.47,420.16,4031850
2020-02-05,420.16,420.56,411.45,417.42,3973737
2020-02-06,417.42,423.84,416.6,422.93,1276207
2020-02-07,422.93,426.3,418.9,422.48,4312093
2020-02-10,422.48,425.01,419.63,419.82,2896165
2020-02-11,419.82,426.81,418.12,423.49,1410829
2020-02-12,423.49,435.48,417.71,429.6,5524043
2020-02-13,429.6,430.6,422.16,424.97,5115913
2020-02-14,424.97,426.7,421.7,421.79,2806914
2020-02-17,421.79,425.49,416.95,425.37,5905198
2020-02-18,425.37,431.62,423.28,423.52,4158475
2020-02-19,423.52,432.68,421.84,428.85,2862725
2020-02-20,428.85,431.32,425.2,427.37,5202298
2020-02-21,427.37,430.15,423.61,428.97,2088023
2020-02-24,428.97,430.55,424.1,426.42,5222263
2020-02-25,426.42,434.9,420.14,429.43,3787491
2020-02-26,429.43,437.7,423.04,434.52,3352315
2020-02-27,434.52,436.91,424.87,429.24,3336987
2020-02-28,429.24,432.52,425.59,430.13,1790062
2020-03-02,430.13,435.24,428.41,433.16,4604806
2020-03-03,433.16,433.58,423.9,429.49,1153699
2020-03-04,429.49,432.39,427.57,431.64,3382964
2020-03-05,431.64,432.37,420.94,426.7,5916204
2020-03-06,426.7,429.06,423.54,424.78,2469462
2020-03-09,424.78,429.79,421.4,424.41,3250259
2020-03-10,424.41,424.76,413.21,418.57,2661177
2020-03-11,418.57,425.54,413.47,423.6,5811465
2020-03-12,423.6,425.47,418.64,420.79,4474411
2020-03-13,420.79,430.63,418.46,425.93,2861814
2020-03-16,425.93,431.36,419.11,423.69,5320836
2020-03-17,423.69,424.09,415.37,418.34,1809306
2020-03-18,418.34,420.95,416.5,417.36,3642485
2020-03-19,417.36,420.22,415.03,416.98,3326446
2020-03-20,416.98,422.58,408.92,412.43,5709494
2020-03-23,412.43,416.75,407.04,412.62,2119561
2020-03-24,412.62,413.34,409.57,410.31,5190372
2020-03-25,410.31,411.43,405.28,410.78,5179986
2020-03-26,410.78,416.89,408.09,412.33,5230267
2020-03-27,412.33,417.9,409.99,414.08,3799614
2020-03-30,414.08,417.83,412.11,415.88,1450035
2020-03-31,415.88,422.49,411.19,419.24,4997317
2020-04-01,419.24,426.12,417.8,420.52,1334286
2020-04-02,420.52,423.17,419.11,422.93,1146556
2020-04-03,422.93,429.25,419.6,424.91,3931021
2020-04-06,424.91,428.03,417.3,423.08,5651592
2020-04-07,423.08,430.02,422.41,427.95,4666495
