date,open,high,low,close,volume
2020-01-01,720,728.39,707.15,709.68,1907704
2020-01-02,709.68,719.02,696.67,702.83,3240311
2020-01-03,702.83,712.96,693.49,704.97,1095376
2020-01-06,704.97,715.11,698.91,707.5,2035299
2020-01-07,707.5,711.6,689.5,698.5,4605468
2020-01-08,698.5,707.93,691.16,697.26,3176566
2020-01-09,697.26,700.9,688.44,693.74,4574391
2020-01-10,693.74,707.62,691.66,703.73,2406961
2020-01-13,703.73,711.26,699.25,701.2,4763050
2020-01-14,701.2,706.33,691.28,693.59,2274939
2020-01-15,693.59,701.87,693.33,695.71,3701544
2020-01-16,695.71,711.59,687.29,705.95,2296049
2020-01-17,705.95,710.27,699.46,707.22,1484235
2020-01-20,707.22,714.47,703.28,712.11,4086160
2020-01-21,712.11,722.33,702.98,719.38,4874707
2020-01-22,719.38,723.72,718.02,718.57,5501058
2020-01-23,718.57,728.19,713.13,726.74,1635987
2020-01-24,726.74,743.36,724.35,733.87,1420329
2020-01-27,733.87,746.17,731.43,743.01,5891028
2020-01-28,743.01,753.9,742.24,748,4817047
2020-01-29,748,760.94,737.69,751.22,3105716
2020-01-30,751.22,753,741.37,743.93,5388597
2020-01-31,743.93,756.94,740.69,751.78,5798838
2020-02-03,751.78,760.64,749.02,759.33,2271418
2020-02-04,759.33,775.34,753.77,765.37,4861654
2020-02-05,765.37,767.93,764.96,767.3,2407941
2020-02-06,767.3,773.75,758.72,771.29,2233319
2020-02-07,771.29,782.06,769.42,775.9,5853608
2020-02-10,775.9,787.69,767.72,786.17,1161399
2020-02-11,786.17,798.55,779.57,787.3,3162255
2020-02-12,787.3,788.75,769.96,780.85,3154558
2020-02-13,780.85,781.37,768.65,777.38,2861747
2020-02-14,777.38,782.48,756.85,768,1690963
2020-02-17,768,773.36,761.05,770.85,1974272
2020-02-18,770.85,789.63,770.53,781.02,1642272
2020-02-19,781.02,793.75,776.27,791.65,5634921
2020-02-20,791.65,808.44,780.2,799.83,1592955
2020-02-21,799.83,805.1,782.04,792.13,5697468
