date,open,high,low,close,volume
2020-01-01,210,211.46,206.19,206.99,4688147
2020-01-02,206.99,207.13,204.45,206.12,1328482
2020-01-03,206.12,207.26,201.38,204.15,2746336
2020-01-06,204.15,206.43,199.09,202.05,4264216
2020-01-07,202.05,204.24,198.51,201.18,5863306
2020-01-08,201.18,203.93,198.37,201.41,3088874
2020-01-09,201.41,201.87,199.59,201.78,3389237
2020-01-10,201.78,201.98,197.25,199.98,4661804
2020-01-13,199.98,203.75,197.34,201.84,3622333
2020-01-14,201.84,204.57,198.84,203.24,5179311
2020-01-15,203.24,203.52,199.71,202.37,4758535
2020-01-16,202.37,206.03,200.89,205.16,1871984
2020-01-17,205.16,207.49,200.63,202.74,1059576
2020-01-20,202.74,204.5,199.98,201.41,2488064
2020-01-21,201.41,204.66,199.41,204.43,3832046
2020-01-22,204.43,205.47,202.44,205.43,3316894
2020-01-23,205.43,207.43,200.65,202.52,2620842
2020-01-24,202.52,204.1,200.94,201.42,1239205
2020-01-27,201.42,203.52,196.94,198.92,1179323
2020-01-28,198.92,201.37,197.19,200.71,3629092
2020-01-29,200.71,200.95,198.75,200.41,2069937
2020-01-30,200.41,200.51,197.66,200.46,3461438
2020-01-31,200.46,202.98,199.75,202.85,4080450
2020-02-03,202.85,206.73,201.61,203.75,3499347
2020-02-04,203.75,205.27,201.69,202.69,1241969
2020-02-05,202.69,205.16,200.92,201.93,5727028
2020-02-06,201.93,202.09,199.42,201.65,3020204
2020-02-07,201.65,205.09,201.65,203.08,4087769
2020-02-10,203.08,204.68,198.62,201.54,4084366
2020-02-11,201.54,205.41,201.25,203.4,2078533
2020-02-12,203.4,204.95,200.76,202.8,5008454
2020-02-13,202.8,205.84,199.74,200.01,4700101
2020-02-14,200.01,200.64,197.95,200.25,1305728
2020-02-17,200.25,203.3,198.98,201.42,5252377
2020-02-18,201.42,204.36,199.82,204.21,3044738
2020-02-19,204.21,204.25,200.65,202.4,1929749
2020-02-20,202.4,204.11,198.75,201.07,3686522
2020-02-21,201.07,202.36,198.2,201.05,2426557
2020-02-24,201.05,203.3,198.01,199.54,5781455
2020-02-25,199.54,202.18,198.23,198.97,5441755
2020-02-26,198.97,201.34,198.35,199.19,3640374
2020-02-27,199.19,202.1,196.85,198.44,5063555
2020-02-28,198.44,201.15,195.86,197,2926175
2020-03-02,197,198.97,194.28,197.98,5179712
2020-03-03,197.98,199.99,196.72,199.2,5944158
2020-03-04,199.2,200.14,197.48,198.09,4475328
2020-03-05,198.09,201.64,197.41,200.99,3992511
2020-03-06,200.99,203.5,196.59,198.27,2670580
2020-03-09,198.27,198.71,197.35,198.31,3714376
2020-03-10,198.31,200.5,194.89,196.09,4661073
2020-03-11,196.09,196.96,194.87,195.22,4944691
2020-03-12,195.22,198.79,194.1,196.42,2166826
2020-03-13,196.42,198.6,194.05,194.58,2753605
2020-03-16,194.58,196.46,192.5,195.1,2519414
2020-03-17,195.1,195.87,193.99,194.41,2383492
2020-03-18,194.41,196.15,192.07,194.35,4017137
2020-03-19,194.35,197.8,192.72,196.26,4895014
2020-03-20,196.26,198.52,193.44,197.56,2820921
2020-03-23,197.56,200.25,194.95,199.72,4085999
2020-03-24,199.72,202.44,196.36,198.51,2418592
2020-03-25,198.51,200,196.21,198.38,4447907
2020-03-26,198.38,201.39,195.99,200.25,3037017
2020-03-27,200.25,200.44,198.35,198.75,1984479
2020-03-30,198.75,201.5,195.79,197.26,3850561
2020-03-31,197.26,200.96,194.37,199.62,2790265
2020-04-01,199.62,203.43,199.08,201.53,2546122
2020-04-02,201.53,201.6,196.75,199.45,5172415
2020-04-03,199.45,199.74,196.68,197.52,2250469
2020-04-06,197.52,198.43,196.48,196.62,4119241
2020-04-07,196.62,198.35,192.06,193.89,2014591
2020-04-08,193.89,195.45,190.9,193.71,2224093
2020-04-09,193.71,196.61,192.07,194.8,1920933
2020-04-10,194.8,197.48,193.19,195.66,2658921
2020-04-13,195.66,197.44,193.64,194.59,4833863
2020-04-14,194.59,195.11,190.04,192.65,1142190
2020-04-15,192.65,197.35,189.84,195.42,5441495
2020-04-16,195.42,196.37,192.93,196.37,3031225
2020-04-17,196.37,198.95,193.97,198.04,5258069
2020-04-20,198.04,200.15,193.16,195.64,3348141
2020-04-21,195.64,196.28,191,193.07,4452779
2020-04-22,193.07,195.19,189.75,191.28,4928218
2020-04-23,191.28,192.41,188.6,190.33,4693416
2020-04-24,190.33,191.79,185.12,187.88,5653428
2020-04-27,187.88,188.16,183.71,185.38,5370964
2020-04-28,185.38,187.31,183.09,185.83,5392955
2020-04-29,185.83,187.16,185.49,185.83,2041367
2020-04-30,185.83,187.57,185.13,185.67,3982694
2020-05-01,185.67,186.06,180.85,183.16,1718156
2020-05-04,183.16,184.99,177.94,180.58,4441156
2020-05-05,180.58,180.63,177.62,178.54,1544638
2020-05-06,178.54,180.92,177.4,179.98,1136352
2020-05-07,179.98,181.59,177.26,179.19,2497075
2020-05-08,179.19,179.33,176.82,178.06,1441789
2020-05-11,178.06,180.59,175.64,175.66,2783945
2020-05-12,175.66,178.17,174.44,176.04,2915304
2020-05-13,176.04,178.24,172.46,174.05,5326275
2020-05-14,174.05,176.54,173.25,173.34,5506910
2020-05-15,173.34,174.49,172.33,173.6,2280644
2020-05-18,173.6,176.16,171.02,175.06,1695833
2020-05-19,175.06,179.95,174.27,177.65,2724999
2020-05-20,177.65,178.77,175.62,177.29,5438228
2020-05-21,177.29,180.35,175.25,178.25,2538848
2020-05-22,178.25,180.64,178,179.36,2252958
2020-05-25,179.36,182.67,178.19,180.52,2912245
2020-05-26,180.52,184.83,180.18,182.37,3664763
2020-05-27,182.37,182.45,180.47,181.58,3387104
2020-05-28,181.58,183.4,178.9,179.03,4723990
2020-05-29,179.03,182.02,177.48,180.88,1915950
2020-06-01,180.88,183.19,179.53,183.02,2856306
2020-06-02,183.02,186.3,181.45,184.7,4409907
2020-06-03,184.7,186.16,181.92,182.39,1618781
2020-06-04,182.39,186.31,182.3,185.08,1868892
2020-06-05,185.08,187.85,184.79,186.28,2044755
2020-06-08,186.28,190.28,183.62,188.29,4673836
2020-06-09,188.29,188.35,185.94,186.9,1256179
2020-06-10,186.9,187.27,182.71,184.89,2891369
2020-06-11,184.89,186.42,184.75,185.82,1363869
2020-06-12,185.82,188.45,182.5,183.77,3611817
2020-06-15,183.77,184.93,182.42,183.12,4737276
2020-06-16,183.12,185.82,182.93,183.13,2551346
2020-06-17,183.13,184.39,181.38,184.31,5995451
2020-06-18,184.31,186.57,183.69,185.59,1173904
2020-06-19,185.59,186.84,182.83,186.05,5161809
2020-06-22,186.05,188.13,184.61,186.2,1731733
2020-06-23,186.2,188.97,186.13,187.14,1936550
2020-06-24,187.14,187.72,184.13,185.12,2734478
2020-06-25,185.12,185.58,182.1,183.98,4928622
2020-06-26,183.98,185.83,181.25,185.03,4056005
2020-06-29,185.03,185.35,182.84,184.9,1097862
2020-06-30,184.9,189.5,184.25,187.53,1137718
