date,open,high,low,close,volume
2020-01-01,12000,12020.02,11824.22,11828.59,1159076
2020-01-02,11828.59,11982.45,11777.66,11913.68,1190174
2020-01-03,11913.68,12033.95,11684.16,11832.09,1555520
2020-01-06,11832.09,11852.18,11696.2,11778.09,2007978
2020-01-07,11778.09,11921.3,11547.24,11685.84,1434537
2020-01-08,11685.84,11915.23,11590.59,11747.39,3830324
2020-01-09,11747.39,12026.55,11655.3,11878.71,4449431
2020-01-10,11878.71,12051.52,11770.23,12035.39,2440148
2020-01-13,12035.39,12282.69,11970.3,12192.18,3379709
2020-01-14,12192.18,12269.57,11971.65,12073.7,5213210
2020-01-15,12073.7,12139.33,11873.73,12002.8,5555691
2020-01-16,12002.8,12187.08,11884.12,12010.61,5650143
2020-01-17,12010.61,12199.21,11935.86,12194.89,3386118
2020-01-20,12194.89,12289.29,12041.93,12274.77,3105321
2020-01-21,12274.77,12465.45,12264.09,12402.22,5896710
2020-01-22,12402.22,12661.28,12297.2,12522.5,5606529
2020-01-23,12522.5,12619.89,12348.98,12487.88,5563914
2020-01-24,12487.88,12582.63,12204.13,12361.74,1751816
2020-01-27,12361.74,12424.72,12200.09,12241.4,5503416
2020-01-28,12241.4,12500.11,12067.04,12353.43,2256253
2020-01-29,12353.43,12471.19,12195.09,12460.75,4926870
2020-01-30,12460.75,12691.45,12380.16,12573.77,1394696
2020-01-31,12573.77,12828.93,12492.39,12668.69,4146531
2020-02-03,12668.69,12785.78,12554.44,12772.28,4804361
2020-02-04,12772.28,13070.37,12712.49,12963.85,4101673
2020-02-05,12963.85,13274.8,12930.77,13152.66,2361067
2020-02-06,13152.66,13343.86,12962.11,12999.32,2808042
2020-02-07,12999.32,13173.77,12823.13,13027.66,3024311
2020-02-10,13027.66,13221.93,12968.96,13042.91,5048040
2020-02-11,13042.91,13103.95,12737.25,12888.32,3807473
2020-02-12,12888.32,13066.4,12625.79,12718.28,1375826
2020-02-13,12718.28,12787.09,12601.85,12651.03,4779241
2020-02-14,12651.03,12709.74,12639.58,12675.12,4845247
2020-02-17,12675.12,12725.77,12465.09,12650.73,5620209
2020-02-18,12650.73,12656.2,12485.33,12609.67,3799757
2020-02-19,12609.67,12785.08,12412.67,12467.34,2675116
2020-02-20,12467.34,12627.08,12429.8,12563.1,4124234
2020-02-21,12563.1,12839.69,12432.11,12684.68,4710473
2020-02-24,12684.68,12852.08,12643.2,12648.62,3441162
2020-02-25,12648.62,12811.47,12514.13,12740.65,3605664
2020-02-26,12740.65,12978.03,12604.86,12817.73,4044578
2020-02-27,12817.73,12880.87,12628.68,12650.73,2502054
2020-02-28,12650.73,12670.65,12295.3,12470.82,2979718
2020-03-02,12470.82,12579.59,12437.81,12525.42,5214096
2020-03-03,12525.42,12690.6,12320.68,12444.03,2885528
2020-03-04,12444.03,12609.9,12191.54,12270.23,1894140
2020-03-05,12270.23,12402.56,12196.94,12301.45,5581666
2020-03-06,12301.45,12447.44,12250.73,12424.03,3240791
2020-03-09,12424.03,12553.17,12291.43,12317.77,5056323
2020-03-10,12317.77,12521.42,12231.21,12482.91,2126032
2020-03-11,12482.91,12593.81,12202.49,12320.21,3176884
