date,open,high,low,close,volume
2020-01-01,950,952.29,929.49,936.45,3792131
2020-01-02,936.45,947.37,932.88,936.23,1313355
2020-01-03,936.23,938.86,930.86,931.53,4710397
2020-01-06,931.53,931.77,908.53,921.72,4482059
2020-01-07,921.72,931.26,907.93,924.91,4508277
2020-01-08,924.91,940.66,924.67,931.69,4613652
2020-01-09,931.69,945.59,928.23,944.29,4095395
2020-01-10,944.29,969.33,943.22,955.16,2563324
2020-01-13,955.16,975.92,952.41,968.92,1238084
2020-01-14,968.92,982.9,951.9,963.62,3655451
2020-01-15,963.62,976.58,944.78,950.77,1965142
2020-01-16,950.77,951.99,933.48,943.62,2227137
2020-01-17,943.62,965.26,932.29,955.48,4033459
2020-01-20,955.48,963.43,955.28,960.97,3038345
2020-01-21,960.97,977.9,954.75,967.13,1333728
2020-01-22,967.13,977.98,953.59,976.24,4600364
2020-01-23,976.24,976.42,968.55,969.97,3671730
2020-01-24,969.97,988.26,956.73,977.98,3091518
2020-01-27,977.98,979.45,965.93,976.53,5570663
2020-01-28,976.53,1001.48,963.1,986.7,5742162
2020-01-29,986.7,995.39,978.8,981.56,4078096
2020-01-30,981.56,995.98,977.53,988.48,1067735
2020-01-31,988.48,1001.8,988.19,994.59,2801701
2020-02-03,994.59,997.36,983.6,987.37,5116616
2020-02-04,987.37,994.26,973.53,990.77,3567412
2020-02-05,990.77,1004.5,975.1,979.44,2258702
2020-02-06,979.44,993.96,956.87,965.45,1690618
2020-02-07,965.45,974.43,962.26,964.48,2307224
2020-02-10,964.48,975.14,942.34,953.6,3704678
2020-02-11,953.6,956.95,941.92,954.33,3586923
2020-02-12,954.33,974.36,943.78,960.15,5378997
2020-02-13,960.15,976.73,959.54,962.5,5541779
2020-02-14,962.5,982.41,954.3,969.97,3709895
2020-02-17,969.97,977.24,951.73,957.28,3464850
2020-02-18,957.28,963.34,939.52,953.55,3941534
2020-02-19,953.55,961.68,953.43,959.07,4898772
2020-02-20,959.07,968.79,953.23,954.86,1381680
2020-02-21,954.86,981.57,945.21,969.21,3370432
2020-02-24,969.21,993.24,956.92,983.51,2734207
2020-02-25,983.51,984.63,966.54,980.16,5896323
2020-02-26,980.16,993.32,974.09,980.76,4409718
2020-02-27,980.76,981.77,965.43,979.27,2150887
2020-02-28,979.27,991.06,965.19,982.64,4952034
2020-03-02,982.64,996.1,977.21,979.35,3656488
2020-03-03,979.35,983.89,972.81,980.54,4114587
2020-03-04,980.54,993.51,971.88,977.43,3197388
2020-03-05,977.43,986.65,965.19,972.24,2328857
2020-03-06,972.24,988.69,959.69,982.24,5742258
2020-03-09,982.24,992.05,972.91,986.6,4199215
2020-03-10,986.6,1002.63,981.09,997.31,3498934
2020-03-11,997.31,1019.23,988.97,1010.47,4031143
2020-03-12,1010.47,1030.64,1007.9,1022.75,5288358
2020-03-13,1022.75,1046.5,1008.65,1035.28,3657756
2020-03-16,1035.28,1052.88,1030.56,1044.67,2784559
2020-03-17,1044.67,1050.29,1037.56,1048.96,1272509
2020-03-18,1048.96,1064.19,1030.14,1034.24,4736262
2020-03-19,1034.24,1035.76,1012.58,1021.56,5532201
2020-03-20,1021.56,1034.69,1016.26,1023.47,2604077
2020-03-23,1023.47,1047.03,1011.94,1037.78,5204436
2020-03-24,1037.78,1051.42,1025.19,1047.53,5939129
2020-03-25,1047.53,1056.97,1033.74,1044.73,1251510
2020-03-26,1044.73,1052.08,1035.41,1043.05,5684968
2020-03-27,1043.05,1056.61,1024.36,1029.68,3544704
2020-03-30,1029.68,1040.64,1017.26,1038.66,5310157
2020-03-31,1038.66,1039.37,1015.75,1028.82,2435552
2020-04-01,1028.82,1041.5,1016.89,1028.36,2630379
2020-04-02,1028.36,1036.41,1012.01,1024.62,4217984
2020-04-03,1024.62,1040.59,1020,1038.58,4142953
2020-04-06,1038.58,1059.96,1026.65,1046.22,3281431
2020-04-07,1046.22,1070.03,1036.74,1056.43,2841288
2020-04-08,1056.43,1065.18,1049.91,1050.95,2467634
2020-04-09,1050.95,1060.75,1045.4,1045.51,3625984
2020-04-10,1045.51,1067.93,1035.83,1061.35,2631765
2020-04-13,1061.35,1075.69,1042.57,1046.56,5240209
2020-04-14,1046.56,1054.43,1017.4,1032.71,1858607
2020-04-15,1032.71,1047.46,1011.7,1021.69,4779579
2020-04-16,1021.69,1033.46,1014.99,1027.8,3861963
2020-04-17,1027.8,1043.15,1011.21,1019.29,4126886
2020-04-20,1019.29,1033.33,1005.89,1026.47,1154347
2020-04-21,1026.47,1046.64,1026.42,1037.04,1353388
2020-04-22,1037.04,1055.93,1023.36,1049.51,5841243
