date,open,high,low,close,volume
2020-01-01,320,322.21,312.19,315.41,3975197
2020-01-02,315.41,322.02,314.88,318.73,4297075
2020-01-03,318.73,323.65,318.49,321.68,5124558
2020-01-06,321.68,323.48,319.66,319.84,5550290
2020-01-07,319.84,321.33,318.43,318.55,1263356
2020-01-08,318.55,318.7,313.02,316.31,1654742
2020-01-09,316.31,320.2,313.51,319.82,1878443
2020-01-10,319.82,324.62,319.36,322.89,4297059
2020-01-13,322.89,326.54,318.9,325.37,3351339
2020-01-14,325.37,332.96,323.85,328.41,4008006
2020-01-15,328.41,332.18,320.89,324.78,1033752
2020-01-16,324.78,328.71,322.15,324.54,3060692
2020-01-17,324.54,332.32,319.93,327.78,2597647
2020-01-20,327.78,330.11,322.52,326.33,5760800
2020-01-21,326.33,332.46,322.6,330.98,1846491
2020-01-22,330.98,332.76,325.75,330.15,4549411
2020-01-23,330.15,336.2,325.97,335.23,2099342
2020-01-24,335.23,335.85,332.65,333.71,2213222
2020-01-27,333.71,334.44,325.58,330.15,2668737
2020-01-28,330.15,330.28,326.07,328.31,1306820
2020-01-29,328.31,331.31,323.25,326.98,3682951
2020-01-30,326.98,331.22,322.67,326.93,4117997
2020-01-31,326.93,333.26,322.22,330.43,5482746
2020-02-03,330.43,335.3,327.04,328.69,4972340
2020-02-04,328.69,332.36,324.77,330.11,4091923
2020-02-05,330.11,331.97,326.45,327.25,3491555
2020-02-06,327.25,329.69,320.18,323.68,5580631
2020-02-07,323.68,326.32,319.33,322.27,3438976
2020-02-10,322.27,323.34,319.07,321.26,4059418
2020-02-11,321.26,329.63,319.27,325.6,1640892
2020-02-12,325.6,327.44,319.44,323.81,2439894
2020-02-13,323.81,328.4,317.99,319.76,5866207
2020-02-14,319.76,321.01,317.27,317.73,4088028
2020-02-17,317.73,319.66,310.61,314.11,2588005
2020-02-18,314.11,319.52,313.38,318.28,4363489
2020-02-19,318.28,321.26,310.04,314.01,3227343
2020-02-20,314.01,321.84,311.44,318.83,3348021
2020-02-21,318.83,323,317.83,320.34,2642711
2020-02-24,320.34,328,316.62,323.5,4903734
2020-02-25,323.5,325.33,316.63,318.98,5609493
2020-02-26,318.98,323.43,313.97,317.76,5875502
2020-02-27,317.76,320.46,313.23,318.07,4031548
2020-02-28,318.07,318.52,314.15,315.84,4472556
2020-03-02,315.84,320.61,314.32,317.47,4008543
2020-03-03,317.47,324.2,312.96,321.63,3960926
2020-03-04,321.63,328.64,318.33,325.27,3511600
2020-03-05,325.27,328.21,320.99,325.41,4382827
2020-03-06,325.41,326.66,319.26,321.09,4933812
2020-03-09,321.09,322.38,314.01,317.6,4367468
2020-03-10,317.6,321.52,313.14,316.94,3046080
2020-03-11,316.94,322.14,316.25,318.97,2622354
2020-03-12,318.97,322.78,316.94,318.03,2651999
