date,open,high,low,close,volume
2020-01-01,41000,41506,40332.59,40414.12,3827810
2020-01-02,40414.12,40966.27,40250.75,40317.86,1332084
2020-01-03,40317.86,40502.71,39915.21,40063.02,1628474
2020-01-06,40063.02,40301.52,39986.72,40151.62,5795454
2020-01-07,40151.62,40523.91,39980.16,40103.69,3079258
2020-01-08,40103.69,40574.81,39300.15,39788.97,2525762
2020-01-09,39788.97,40444.11,39655.57,40049.71,2709561
2020-01-10,40049.71,40433.97,39538.6,40097.41,2165393
2020-01-13,40097.41,40282.85,39370.23,39944.52,2350431
2020-01-14,39944.52,40251.85,39307,39776.91,4545876
2020-01-15,39776.91,40253.42,38949.6,39333.33,1386212
2020-01-16,39333.33,39429.12,38510.91,39019.13,5061752
2020-01-17,39019.13,39085.48,38514.11,38660.56,3669647
2020-01-20,38660.56,39098.9,38165.01,38978.33,2291920
2020-01-21,38978.33,39720.72,38786.67,39192.52,3326169
2020-01-22,39192.52,39266.46,38464.99,38847.97,5727411
2020-01-23,38847.97,39228.98,38796.74,39129.76,4222302
2020-01-24,39129.76,39518.36,38898.72,39093.6,3734047
2020-01-27,39093.6,39383.4,38227.5,38798.58,2447688
2020-01-28,38798.58,39112.54,38016.08,38543.18,5980684
2020-01-29,38543.18,39076.08,37812.41,38073.88,3869957
2020-01-30,38073.88,38579.54,37598.2,37612.6,5718196
2020-01-31,37612.6,38269.51,37273.18,37911.84,5856303
2020-02-03,37911.84,38615.03,37443.6,38477.3,4056666
2020-02-04,38477.3,39001.91,38143.06,38705.81,2177346
2020-02-05,38705.81,39302.86,38131.14,38767.2,5070104
2020-02-06,38767.2,39161.32,38422.36,38497.83,3676322
2020-02-07,38497.83,38662.79,38153.35,38164.55,4487729
2020-02-10,38164.55,38736.34,37775.75,38364.24,4793089
2020-02-11,38364.24,38935.79,37396.57,37916.22,2504065
2020-02-12,37916.22,38273.29,37683.14,38240.93,4589168
2020-02-13,38240.93,38769.64,37775.31,38415.14,4790391
2020-02-14,38415.14,38555.5,37382.96,37886.25,3337912
2020-02-17,37886.25,38220.93,37697.06,38087.97,2154542
2020-02-18,38087.97,38739.93,37529.38,38543.07,3102799
2020-02-19,38543.07,38567.44,38170.11,38393.96,4156171
