date,open,high,low,close,volume
2020-01-01,2100,2124.57,2044.68,2069.88,2620654
2020-01-02,2069.88,2088.9,2069.61,2081.52,5271718
2020-01-03,2081.52,2133.95,2058.43,2111.2,3717155
2020-01-06,2111.2,2114.05,2092.91,2109.04,5749226
2020-01-07,2109.04,2134.4,2059.31,2081.77,4205417
2020-01-08,2081.77,2117.14,2056.15,2094.99,4610698
2020-01-09,2094.99,2104.46,2048.92,2065.02,1085185
2020-01-10,2065.02,2067.45,2056.12,2056.58,2771706
2020-01-13,2056.58,2059.87,2045.02,2052.51,5034044
2020-01-14,2052.51,2052.51,1997.84,2025.26,3446244
2020-01-15,2025.26,2073.26,2022.14,2045.13,2426326
2020-01-16,2045.13,2045.39,2019.02,2043.62,1107340
2020-01-17,2043.62,2067.83,2032.59,2064.11,4946165
2020-01-20,2064.11,2084.18,2062,2073.97,5813424
2020-01-21,2073.97,2098.3,2050.49,2096.68,1860263
2020-01-22,2096.68,2111.66,2071.13,2109.81,4268541
2020-01-23,2109.81,2153.68,2101.02,2134.77,2157487
2020-01-24,2134.77,2162.09,2129.47,2153.78,5446313
2020-01-27,2153.78,2204.06,2122.74,2176.85,4401615
2020-01-28,2176.85,2200.35,2151.58,2157.87,2139319
2020-01-29,2157.87,2183.65,2134.79,2172.71,1492702
2020-01-30,2172.71,2182.92,2143.57,2152.49,4732038
2020-01-31,2152.49,2208.13,2134.17,2177.88,4396542
2020-02-03,2177.88,2181.35,2145.14,2155.51,5798425
2020-02-04,2155.51,2185.04,2151.42,2152.07,2011700
2020-02-05,2152.07,2184.18,2145.37,2168.16,4643413
2020-02-06,2168.16,2225.38,2143.35,2200.06,4672892
2020-02-07,2200.06,2221.33,2154.36,2172.42,1502401
2020-02-10,2172.42,2205.71,2165.43,2191.5,1186346
2020-02-11,2191.5,2217.26,2177.35,2185.29,3599896
2020-02-12,2185.29,2193.6,2150.07,2172.95,5723118
2020-02-13,2172.95,2176.13,2145.33,2160.5,1695641
2020-02-14,2160.5,2170.36,2132.82,2150.75,3908662
2020-02-17,2150.75,2164.79,2122.32,2131.29,4638644
2020-02-18,2131.29,2177.61,2118.45,2160.67,5323521
2020-02-19,2160.67,2179,2130.66,2135.09,4337327
2020-02-20,2135.09,2155.95,2104.45,2110.33,1931456
2020-02-21,2110.33,2153.14,2091.87,2143.1,5481314
2020-02-24,2143.1,2167.71,2120.45,2143.82,2244913
2020-02-25,2143.82,2167.51,2128.95,2154.79,5595405
2020-02-26,2154.79,2204,2151.57,2188.08,3802891
2020-02-27,2188.08,2231.27,2161.81,2198.57,2164607
2020-02-28,2198.57,2214.31,2175.55,2213.87,2208594
2020-03-02,2213.87,2251.53,2192.98,2219.75,3446663
2020-03-03,2219.75,2240.25,2193.62,2202.13,3709522
2020-03-04,2202.13,2250.47,2192.45,2222.52,1059048
2020-03-05,2222.52,2235.14,2221.7,2222.87,4438605
2020-03-06,2222.87,2240.9,2213.69,2226.16,2968373
2020-03-09,2226.16,2237.31,2197.2,2226.97,1826625
2020-03-10,2226.97,2238.37,2200.14,2236.33,5895942
2020-03-11,2236.33,2246.94,2185.96,2218.98,2665436
2020-03-12,2218.98,2242.28,2175.15,2200.15,2888559
2020-03-13,2200.15,2229.28,2150.76,2181.9,1581891
2020-03-16,2181.9,2239.19,2168.56,2213.92,3301531
2020-03-17,2213.92,2224.85,2187.93,2206.51,3338112
2020-03-18,2206.51,2234.55,2182.91,2196.67,2276831
2020-03-19,2196.67,2240.82,2188.86,2227.04,3997470
2020-03-20,2227.04,2258.01,2206.44,2241.46,2321855
2020-03-23,2241.46,2260.68,2215.53,2228.27,3554124
2020-03-24,2228.27,2240.62,2195.81,2225.23,3151565
2020-03-25,2225.23,2255.13,2197.99,2211.34,4780403
2020-03-26,2211.34,2227.77,2182.86,2209.15,5717241
2020-03-27,2209.15,2220.25,2204.54,2212.75,2028429
2020-03-30,2212.75,2251.51,2189.92,2244.9,4736747
2020-03-31,2244.9,2268.49,2243.85,2259.96,4611259
2020-04-01,2259.96,2319.07,2255.74,2287.58,1633003
2020-04-02,2287.58,2319.05,2286.16,2307.98,5849755
2020-04-03,2307.98,2376.37,2280.09,2341.78,4627722
2020-04-06,2341.78,2376.78,2290.19,2323.92,3320993
2020-04-07,2323.92,2360.23,2294.09,2345.29,1122386
2020-04-08,2345.29,2368.09,2307.74,2338.85,1385883
2020-04-09,2338.85,2367.47,2280.52,2312.79,1828118
2020-04-10,2312.79,2337.24,2283.83,2323.64,5545480
2020-04-13,2323.64,2329.83,2279.67,2302.54,4915732
2020-04-14,2302.54,2320.63,2263.24,2293.01,5880680
2020-04-15,2293.01,2329.89,2270.04,2323.34,2112990
2020-04-16,2323.34,2357.58,2300.18,2304.32,3970119
2020-04-17,2304.32,2340.5,2289.06,2323.76,1564233
2020-04-20,2323.76,2353.82,2318.81,2333.19,3497611
2020-04-21,2333.19,2362.41,2312.86,2332.67,2464063
2020-04-22,2332.67,2343.15,2288.16,2320.37,5728585
2020-04-23,2320.37,2357.25,2295.55,2333.44,4099372
2020-04-24,2333.44,2362.08,2296.27,2316.04,4164742
2020-04-27,2316.04,2369.79,2303.55,2349.82,4762525
2020-04-28,2349.82,2360.87,2322.73,2340.98,3089069
2020-04-29,2340.98,2349.39,2312.05,2321.14,3471785
2020-04-30,2321.14,2336.18,2293.17,2333.65,5990850
2020-05-01,2333.65,2359.61,2316.78,2317.2,4785931
2020-05-04,2317.2,2342.22,2256.99,2285.84,1960850
2020-05-05,2285.84,2323.69,2259.78,2307.99,2685024
2020-05-06,2307.99,2325.25,2272.02,2277.66,3285296
2020-05-07,2277.66,2326.02,2264.42,2299.25,1001408
2020-05-08,2299.25,2333.91,2285.4,2316.87,4229369
2020-05-11,2316.87,2322.7,2276.33,2297.53,3131442
2020-05-12,2297.53,2313.97,2287.66,2307.96,5500808
2020-05-13,2307.96,2335.28,2262.17,2276.03,3019413
2020-05-14,2276.03,2310.01,2213.64,2247.07,4502755
2020-05-15,2247.07,2259.62,2218.21,2225.56,4614602
2020-05-18,2225.56,2241.72,2174.02,2201.76,2619754
2020-05-19,2201.76,2222.52,2195.25,2212.52,3516293
2020-05-20,2212.52,2235.27,2191.38,2198.59,5904220
2020-05-21,2198.59,2217.96,2139.8,2170.01,1134333
2020-05-22,2170.01,2193.32,2163.91,2174.42,2442822
2020-05-25,2174.42,2220.49,2153.54,2202.12,5676185
2020-05-26,2202.12,2222.01,2190.21,2205.33,3515868
2020-05-27,2205.33,2256.17,2173.05,2229.21,4386528
2020-05-28,2229.21,2235,2198.67,2229.12,1408097
2020-05-29,2229.12,2255.86,2216,2249.12,3474697
2020-06-01,2249.12,2280.52,2216.04,2247.05,2939176
2020-06-02,2247.05,2276.34,2226.58,2238.22,3892492
2020-06-03,2238.22,2292.43,2205.87,2261.35,3432119
2020-06-04,2261.35,2283.96,2225.17,2251.01,1282682
2020-06-05,2251.01,2274.82,2226.61,2232.68,3341396
2020-06-08,2232.68,2240.81,2207.92,2225.29,1578918
2020-06-09,2225.29,2278.98,2196.67,2258.34,2472973
2020-06-10,2258.34,2262.13,2235.13,2242.98,5922233
2020-06-11,2242.98,2275.56,2219.86,2250.81,4639042
2020-06-12,2250.81,2252.08,2217.01,2237.15,5960558
2020-06-15,2237.15,2243.12,2224.91,2233.29,1332690
