date,open,high,low,close,volume
2020-01-01,380,384.26,368.96,374.56,5593514
2020-01-02,374.56,380.89,369.7,376.36,2123757
2020-01-03,376.36,380.94,371.01,375.43,2429825
2020-01-06,375.43,380.29,370.02,372.47,3048887
2020-01-07,372.47,372.96,364.42,368.57,5018686
2020-01-08,368.57,370.76,366.82,367.82,1525171
2020-01-09,367.82,369.46,361.15,365.97,2107519
2020-01-10,365.97,370.64,365.76,369.66,4207069
2020-01-13,369.66,369.84,366.11,367.04,4109623
2020-01-14,367.04,371.1,364.8,369.33,3504034
2020-01-15,369.33,369.34,360.4,364.7,1478449
2020-01-16,364.7,365.51,360.73,362.28,4837792
2020-01-17,362.28,362.29,358.97,360.94,3852188
2020-01-20,360.94,362.23,359.16,359.51,4846936
2020-01-21,359.51,364.69,352.18,355.34,2431476
2020-01-22,355.34,360.08,355.17,358.39,5661047
2020-01-23,358.39,360.6,354.5,360.15,2919454
2020-01-24,360.15,363.24,351.36,355.54,1205006
2020-01-27,355.54,357.89,349.33,351.59,2213879
2020-01-28,351.59,352.03,348.11,350.04,5260116
2020-01-29,350.04,356.47,348.13,355.02,1352878
2020-01-30,355.02,357.4,350.5,351.69,5451056
2020-01-31,351.69,356.57,349,354.88,5175271
2020-02-03,354.88,362.25,354.69,357.83,2193028
2020-02-04,357.83,360.23,350,355.31,3866204
2020-02-05,355.31,358.69,354.16,355.08,3547046
2020-02-06,355.08,358.05,351.01,356.8,2272777
2020-02-07,356.8,361.57,354.5,355.03,1326765
2020-02-10,355.03,356.02,351.05,354.05,4289423
2020-02-11,354.05,355.72,346.52,349.66,2506660
2020-02-12,349.66,350.31,348.6,349.74,1657992
2020-02-13,349.74,356.23,349.23,352.86,2021163
2020-02-14,352.86,355.25,349.24,353.48,3377665
2020-02-17,353.48,354.65,347.66,351.41,3389300
2020-02-18,351.41,352.26,348.1,350.53,1379197
2020-02-19,350.53,352.77,350.45,352.14,3043882
2020-02-20,352.14,356.98,345.73,350.3,3621854
2020-02-21,350.3,355,345.93,346.33,2995757
2020-02-24,346.33,347.47,346.23,346.94,2684658
2020-02-25,346.94,351.19,345.5,350.39,1161356
2020-02-26,350.39,350.65,348.78,349.38,3516921
2020-02-27,349.38,352.38,348.19,348.32,5752169
